#"Step","Potential Energy (kJ/mole)","Temperature (K)","Speed (ns/day)"
1110000,-136257.397724,313.565999616,365
1112500,-137299.46329,313.989411437,365
1115000,-136419.731875,316.13197537,365
1117500,-136323.122295,312.645572429,364
1120000,-135212.730179,315.851971365,364
1122500,-136979.681759,313.025536441,364
1125000,-136597.683263,314.36462545,364
1127500,-135967.471562,311.151230034,364
1130000,-135352.475262,311.836667739,364
1132500,-135610.936946,315.968490779,364
1135000,-136105.593579,311.396742042,364
1137500,-135390.35308,308.66518984,364
1140000,-136054.576594,313.773921653,364
1142500,-135721.169157,313.391803833,364
1145000,-135310.871684,314.932477662,364
1147500,-135080.441425,317.288033226,364
1150000,-135791.026264,315.124746001,364
1152500,-135817.113338,316.447983421,364
1155000,-135472.481778,310.307209732,364
1157500,-136894.653985,312.149511853,364
1160000,-136780.700248,316.651463345,364
1162500,-136461.624821,313.49385333,364
1165000,-136395.128876,312.523459806,364
1167500,-137065.490049,316.918057007,364
1170000,-135811.875184,320.02228211,364
1172500,-135572.078115,312.305118643,364
1175000,-136334.336764,312.524979244,364
1177500,-136395.484425,312.634931096,364
1180000,-136160.604307,310.392670169,364
1182500,-136525.796783,317.695944988,364
1185000,-135942.529038,314.880906879,364
1187500,-136458.962637,313.295275606,364
1190000,-136509.440925,313.101909099,364
1192500,-135857.861281,310.133022406,364
1195000,-136699.485561,314.084543668,364
1197500,-135944.072029,316.816801233,364
1200000,-135890.966933,316.190175885,364
1202500,-136177.867532,312.070278502,364
1205000,-135679.023809,313.928459696,364
1207500,-135223.273116,312.761850491,364
1210000,-135279.131188,313.747500739,364
1212500,-136462.2616,310.971918905,364
1215000,-135431.167495,316.278622132,364
1217500,-135694.132347,309.495965136,364
1220000,-135536.827065,312.133993948,364
1222500,-134807.629866,312.641615307,364
1225000,-135219.197678,315.655370615,364
1227500,-137024.56108,311.335356936,364
1230000,-135612.170095,311.21791874,364
1232500,-136234.027555,314.769748527,364
1235000,-136520.411264,318.141271427,364
1237500,-135403.646672,314.311983062,364
1240000,-135980.715316,312.887113039,364
1242500,-135827.08867,314.432392417,364
1245000,-135999.264864,310.783059256,364
1247500,-136176.64062,314.607317296,364
1250000,-136479.17631,313.242582735,364
1252500,-135472.842079,314.136624695,364
1255000,-136615.258144,312.594415267,364
1257500,-135303.290962,312.376908164,364
1260000,-136586.393757,309.44640791,364
1262500,-136404.689784,317.45124053,364
1265000,-136210.833739,312.277073218,364
1267500,-135804.214344,313.953511797,364
1270000,-136421.416108,315.29955998,364
1272500,-135306.241211,314.19923532,364
1275000,-136122.436118,317.769709859,364
1277500,-135412.962054,310.255597859,364
1280000,-135912.10818,312.836680917,364
1282500,-136645.96829,313.445061347,364
1285000,-135523.365623,314.026712867,364
1287500,-135265.146451,310.795280431,364
1290000,-135459.322105,314.505535665,364
1292500,-135198.321973,314.65548895,364
1295000,-135876.85149,310.687955184,364
1297500,-135525.507429,316.970391978,364
1300000,-136853.853531,313.648132847,364
1302500,-136792.41478,317.898303075,364
1305000,-136091.552759,313.360546017,364
1307500,-135581.897048,314.990690252,364
1310000,-136108.451338,312.298787094,364
1312500,-136082.840755,314.690590327,364
1315000,-135584.715474,314.494177217,364
1317500,-136549.193048,312.766087019,364
1320000,-135576.798842,318.70937728,364
1322500,-135503.54223,312.498931774,364
1325000,-135478.79319,314.248296511,364
1327500,-135970.788266,310.110307704,364
1330000,-135427.155048,315.788311376,364
1332500,-135947.600792,314.9238013,364
1335000,-136247.118776,320.280220063,364
1337500,-136584.159168,314.97894194,364
1340000,-136507.55676,313.841763812,364
1342500,-136329.132692,314.73965534,364
1345000,-136383.316646,313.919048777,364
1347500,-135820.298361,314.413150646,364
1350000,-135937.114334,322.382857876,364
1352500,-135916.698603,318.843123393,364
1355000,-136040.727351,316.020709768,364
1357500,-135964.223088,314.529934874,364
1360000,-136518.149778,317.606072703,364
1362500,-135753.596682,314.786652536,364
1365000,-135031.874612,315.051576063,364
1367500,-136050.995189,315.11186845,364
1370000,-135481.619233,315.384154978,364
1372500,-136305.426432,315.028461747,364
1375000,-136844.15646,312.749411596,364
1377500,-136311.094139,314.505771063,364
1380000,-136179.700422,311.8702107,364
1382500,-136655.854875,316.005077415,364
1385000,-136678.54819,315.551452387,364
1387500,-136086.339208,311.575480981,364
1390000,-136376.99333,315.253678426,364
1392500,-136545.902106,313.257549477,364
1395000,-136620.655841,313.578786562,364
1397500,-136142.07539,314.161715579,364
1400000,-135958.098552,311.551738041,364
1402500,-136492.863693,318.306177089,364
1405000,-136866.985773,311.843325364,364
1407500,-136558.583988,315.357700548,364
1410000,-135663.858267,316.325800372,364
1412500,-136304.310775,315.012678507,364
1415000,-136382.2014,317.170769958,364
1417500,-136145.044437,312.6636361,364
1420000,-136090.38428,313.637053557,364
1422500,-136269.428874,313.818894461,364
1425000,-136888.538898,315.848233333,364
1427500,-135140.277293,313.688594143,364
1430000,-135881.795602,312.532455184,364
1432500,-136932.002136,314.377217952,364
1435000,-136330.034967,314.094654385,364
1437500,-135318.598674,315.821174791,364
1440000,-135962.080676,313.521841067,364
1442500,-136406.18044,315.638686701,364
1445000,-136051.668459,316.103567018,364
1447500,-136226.681951,312.059502995,364
1450000,-136385.54201,314.26595508,364
1452500,-135823.706513,317.61196002,364
1455000,-136376.257992,314.749259223,364
1457500,-135933.615112,311.60393024,364
1460000,-135844.539603,315.574558709,364
1462500,-135887.018561,313.165491511,364
1465000,-135635.958897,314.856876819,364
1467500,-135689.040067,315.21327423,364
1470000,-135405.731035,317.030165384,364
1472500,-135734.772159,311.776607411,364
1475000,-136702.401323,315.581188796,364
1477500,-136421.653083,316.425996201,364
1480000,-135486.585822,312.616600653,364
1482500,-135665.802764,309.725281003,364
1485000,-135502.32334,314.591002679,364
1487500,-136341.906091,318.66231356,364
1490000,-136246.302272,316.19354977,364
1492500,-135344.119213,309.893616164,364
1495000,-136365.820546,314.00717533,364
1497500,-135496.831974,317.934631596,364
1500000,-135545.220167,313.346420221,364
1502500,-135368.727133,318.528351811,364
